axis,value,term,sum,state
car,0.1092,36,109200,AK
credit_card,1,36,4326750,AK
debt_consolidation,1,36,11380750,AK
home_improvement,1,36,1162125,AK
house,0.077275,36,77275,AK
major_purchase,0.3658,36,365800,AK
medical,0.209975,36,209975,AK
moving,0.098725,36,98725,AK
other,0.799575,36,799575,AK
renewable_energy,0.0172,36,17200,AK
small_business,0.288175,36,288175,AK
vacation,0.13155,36,131550,AK
wedding,0.03415,36,34150,AK
car,0.07175,60,71750,AK
credit_card,1,60,2813650,AK
debt_consolidation,1,60,8130425,AK
home_improvement,0.604625,60,604625,AK
house,0.079,60,79000,AK
major_purchase,0.19765,60,197650,AK
medical,0.080975,60,80975,AK
moving,0.06,60,60000,AK
other,0.3439,60,343900,AK
small_business,0.213425,60,213425,AK
vacation,0.162425,60,162425,AK
car,1,36,1129475,AL
credit_card,1,36,20245375,AL
debt_consolidation,1,36,60607225,AL
educational,0.0438,36,43800,AL
home_improvement,1,36,6878000,AL
house,0.416575,36,416575,AL
major_purchase,1,36,1705050,AL
medical,0.8125,36,812500,AL
moving,0.2204,36,220400,AL
other,1,36,4883375,AL
renewable_energy,0.06715,36,67150,AL
small_business,1,36,1110475,AL
vacation,0.458175,36,458175,AL
wedding,0.235175,36,235175,AL
car,0.504775,60,504775,AL
credit_card,1,60,13358100,AL
debt_consolidation,1,60,42009375,AL
educational,0.045,60,45000,AL
home_improvement,1,60,4261650,AL
house,0.2154,60,215400,AL
major_purchase,1,60,1028950,AL
medical,0.606425,60,606425,AL
moving,0.2557,60,255700,AL
other,1,60,3173300,AL
renewable_energy,0.052,60,52000,AL
small_business,0.766875,60,766875,AL
vacation,0.24145,60,241450,AL
wedding,0.0774,60,77400,AL
car,0.6262,36,626200,AR
credit_card,1,36,14298200,AR
debt_consolidation,1,36,33728775,AR
educational,0.008325,36,8325,AR
home_improvement,1,36,3351950,AR
house,0.2643,36,264300,AR
major_purchase,1,36,1324850,AR
medical,0.574,36,574000,AR
moving,0.214975,36,214975,AR
other,1,36,2658400,AR
renewable_energy,0.06125,36,61250,AR
small_business,0.4948,36,494800,AR
vacation,0.27805,36,278050,AR
wedding,0.029575,36,29575,AR
car,0.544125,60,544125,AR
credit_card,1,60,10138450,AR
debt_consolidation,1,60,22459325,AR
educational,0.048,60,48000,AR
home_improvement,1,60,2669975,AR
house,0.0728,60,72800,AR
major_purchase,1,60,1116325,AR
medical,0.490325,60,490325,AR
moving,0.081,60,81000,AR
other,1,60,1783675,AR
small_business,0.49785,60,497850,AR
vacation,0.147125,60,147125,AR
wedding,0.0494,60,49400,AR
car,1,36,2028975,AZ
credit_card,1,36,40473025,AZ
debt_consolidation,1,36,107199275,AZ
educational,0.056275,36,56275,AZ
home_improvement,1,36,10309675,AZ
house,0.688175,36,688175,AZ
major_purchase,1,36,3446925,AZ
medical,1,36,2050550,AZ
moving,1,36,1060300,AZ
other,1,36,7901775,AZ
renewable_energy,0.10265,36,102650,AZ
small_business,1,36,2034625,AZ
vacation,0.827025,36,827025,AZ
wedding,0.38205,36,382050,AZ
car,1,60,1658800,AZ
credit_card,1,60,27645125,AZ
debt_consolidation,1,60,71749700,AZ
educational,0.03405,60,34050,AZ
home_improvement,1,60,7167575,AZ
house,0.396025,60,396025,AZ
major_purchase,1,60,2184800,AZ
medical,1,60,1415650,AZ
moving,0.851625,60,851625,AZ
other,1,60,5528275,AZ
renewable_energy,0.078,60,78000,AZ
small_business,1,60,1602225,AZ
vacation,0.700575,60,700575,AZ
wedding,0.305575,60,305575,AZ
car,1,36,12848850,CA
credit_card,1,36,258654425,CA
debt_consolidation,1,36,675733625,CA
educational,0.48255,36,482550,CA
home_improvement,1,36,54179725,CA
house,1,36,4551400,CA
major_purchase,1,36,21735125,CA
medical,1,36,10533450,CA
moving,1,36,8311900,CA
other,1,36,61635550,CA
renewable_energy,0.9268,36,926800,CA
small_business,1,36,15385975,CA
vacation,1,36,8779925,CA
wedding,1,36,3913100,CA
car,1,60,8382600,CA
credit_card,1,60,173232150,CA
debt_consolidation,1,60,462444425,CA
educational,0.287025,60,287025,CA
home_improvement,1,60,36971825,CA
house,1,60,3008850,CA
major_purchase,1,60,15923750,CA
medical,1,60,7172175,CA
moving,1,60,5543800,CA
other,1,60,40888100,CA
renewable_energy,0.7736,60,773600,CA
small_business,1,60,11211425,CA
vacation,1,60,5488175,CA
wedding,1,60,2637000,CA
car,1,36,1850500,CO
credit_card,1,36,40360725,CO
debt_consolidation,1,36,96558375,CO
educational,0.072275,36,72275,CO
home_improvement,1,36,8910125,CO
house,0.66885,36,668850,CO
major_purchase,1,36,3540575,CO
medical,1,36,1831750,CO
moving,1,36,1011250,CO
other,1,36,6094450,CO
renewable_energy,0.08375,36,83750,CO
small_business,1,36,1748800,CO
vacation,0.41625,36,416250,CO
wedding,0.37015,36,370150,CO
car,1,60,1032975,CO
credit_card,1,60,27004250,CO
debt_consolidation,1,60,67059150,CO
educational,0.0708,60,70800,CO
home_improvement,1,60,5679900,CO
house,0.345175,60,345175,CO
major_purchase,1,60,1780625,CO
medical,1,60,1055325,CO
moving,0.53845,60,538450,CO
other,1,60,4302475,CO
renewable_energy,0.039,60,39000,CO
small_business,1,60,1380575,CO
vacation,0.460225,60,460225,CO
wedding,0.069875,60,69875,CO
car,1,36,1508250,CT
credit_card,1,36,27831225,CT
debt_consolidation,1,36,68189750,CT
educational,0.07805,36,78050,CT
home_improvement,1,36,7156400,CT
house,0.588775,36,588775,CT
major_purchase,1,36,2021375,CT
medical,0.85095,36,850950,CT
moving,0.77435,36,774350,CT
other,1,36,5954650,CT
renewable_energy,0.1001,36,100100,CT
small_business,1,36,1182150,CT
vacation,0.645675,36,645675,CT
wedding,0.3917,36,391700,CT
car,0.84515,60,845150,CT
credit_card,1,60,18343150,CT
debt_consolidation,1,60,48359950,CT
educational,0.0247,60,24700,CT
home_improvement,1,60,4564100,CT
house,0.2969,60,296900,CT
major_purchase,1,60,1836475,CT
medical,0.893275,60,893275,CT
moving,0.378825,60,378825,CT
other,1,60,4356950,CT
renewable_energy,0.04,60,40000,CT
small_business,0.7065,60,706500,CT
vacation,0.3887,60,388700,CT
wedding,0.205225,60,205225,CT
car,0.112975,36,112975,DC
credit_card,1,36,5485600,DC
debt_consolidation,1,36,11778275,DC
home_improvement,0.93745,36,937450,DC
house,0.0314,36,31400,DC
major_purchase,0.4561,36,456100,DC
medical,0.153025,36,153025,DC
moving,0.199225,36,199225,DC
other,1,36,1316450,DC
renewable_energy,0.0392,36,39200,DC
small_business,0.342925,36,342925,DC
vacation,0.155125,36,155125,DC
wedding,0.099825,36,99825,DC
car,0.1307,60,130700,DC
credit_card,1,60,4171000,DC
debt_consolidation,1,60,8549600,DC
home_improvement,0.63265,60,632650,DC
house,0.1037,60,103700,DC
major_purchase,0.32655,60,326550,DC
medical,0.088175,60,88175,DC
moving,0.1745,60,174500,DC
other,0.7824,60,782400,DC
small_business,0.150225,60,150225,DC
vacation,0.19745,60,197450,DC
wedding,0.0774,60,77400,DC
car,0.257925,36,257925,DE
credit_card,1,36,5400925,DE
debt_consolidation,1,36,13127425,DE
educational,0.001675,36,1675,DE
home_improvement,1,36,1349800,DE
house,0.053,36,53000,DE
major_purchase,0.4805,36,480500,DE
medical,0.195425,36,195425,DE
moving,0.05625,36,56250,DE
other,0.992925,36,992925,DE
renewable_energy,0.0162,36,16200,DE
small_business,0.162325,36,162325,DE
vacation,0.092225,36,92225,DE
wedding,0.084025,36,84025,DE
car,0.214625,60,214625,DE
credit_card,1,60,3458075,DE
debt_consolidation,1,60,8696375,DE
home_improvement,0.9043,60,904300,DE
house,0.036,60,36000,DE
major_purchase,0.254075,60,254075,DE
medical,0.075075,60,75075,DE
moving,0.128175,60,128175,DE
other,0.705575,60,705575,DE
small_business,0.43025,60,430250,DE
vacation,0.049,60,49000,DE
wedding,0.048,60,48000,DE
car,1,36,6110425,FL
credit_card,1,36,119885725,FL
debt_consolidation,1,36,309325075,FL
educational,0.38095,36,380950,FL
home_improvement,1,36,37998800,FL
house,1,36,3774525,FL
major_purchase,1,36,11223250,FL
medical,1,36,5318675,FL
moving,1,36,3914325,FL
other,1,36,26130775,FL
renewable_energy,0.460225,36,460225,FL
small_business,1,36,7488125,FL
vacation,1,36,2502150,FL
wedding,1,36,1362125,FL
car,1,60,4085400,FL
credit_card,1,60,80712625,FL
debt_consolidation,1,60,211681650,FL
educational,0.16415,60,164150,FL
home_improvement,1,60,24880800,FL
house,1,60,2400075,FL
major_purchase,1,60,7145000,FL
medical,1,60,3649325,FL
moving,1,60,2913400,FL
other,1,60,17327575,FL
renewable_energy,0.287925,60,287925,FL
small_business,1,60,5339700,FL
vacation,1,60,2018375,FL
wedding,0.93785,60,937850,FL
car,1,36,2737775,GA
credit_card,1,36,55725700,GA
debt_consolidation,1,36,148778750,GA
educational,0.202525,36,202525,GA
home_improvement,1,36,17422350,GA
house,0.9607,36,960700,GA
major_purchase,1,36,4959900,GA
medical,1,36,2509800,GA
moving,1,36,1376625,GA
other,1,36,11466725,GA
renewable_energy,0.200425,36,200425,GA
small_business,1,36,3635675,GA
vacation,0.983325,36,983325,GA
wedding,0.471425,36,471425,GA
car,1,60,1642600,GA
credit_card,1,60,38389450,GA
debt_consolidation,1,60,106847975,GA
educational,0.044175,60,44175,GA
home_improvement,1,60,12267600,GA
house,0.848525,60,848525,GA
major_purchase,1,60,3110325,GA
medical,1,60,1946025,GA
moving,0.992275,60,992275,GA
other,1,60,7719925,GA
renewable_energy,0.064575,60,64575,GA
small_business,1,60,2778950,GA
vacation,0.6677,60,667700,GA
wedding,0.4996,60,499600,GA
car,0.513,36,513000,HI
credit_card,1,36,7772325,HI
debt_consolidation,1,36,25471775,HI
educational,0.0744,36,74400,HI
home_improvement,1,36,1463625,HI
house,0.071525,36,71525,HI
major_purchase,0.8242,36,824200,HI
medical,0.223675,36,223675,HI
moving,0.465625,36,465625,HI
other,1,36,2284450,HI
renewable_energy,0.0537,36,53700,HI
small_business,0.5398,36,539800,HI
vacation,0.56215,36,562150,HI
wedding,0.181975,36,181975,HI
car,0.2595,60,259500,HI
credit_card,1,60,5576900,HI
debt_consolidation,1,60,16943925,HI
home_improvement,1,60,1190475,HI
house,0.109825,60,109825,HI
major_purchase,0.49245,60,492450,HI
medical,0.1069,60,106900,HI
moving,0.182675,60,182675,HI
other,1,60,1820100,HI
renewable_energy,0.0444,60,44400,HI
small_business,0.283525,60,283525,HI
vacation,0.59755,60,597550,HI
wedding,0.0854,60,85400,HI
debt_consolidation,0.09575,36,95750,IA
home_improvement,0.029,36,29000,IA
medical,0.023,36,23000,IA
car,0.0165,60,16500,IA
debt_consolidation,0.0284,60,28400,IA
other,0.03875,60,38750,IA
credit_card,0.02,36,20000,ID
debt_consolidation,0.0255,36,25500,ID
other,0.020775,36,20775,ID
credit_card,0.0108,60,10800,ID
debt_consolidation,0.087875,60,87875,ID
other,0.035,60,35000,ID
car,1,36,2577975,IL
credit_card,1,36,84242325,IL
debt_consolidation,1,36,172129525,IL
educational,0.152775,36,152775,IL
home_improvement,1,36,17325525,IL
house,1,36,1458425,IL
major_purchase,1,36,5686550,IL
medical,1,36,3012650,IL
moving,1,36,1293450,IL
other,1,36,14513675,IL
renewable_energy,0.1624,36,162400,IL
small_business,1,36,3738075,IL
vacation,1,36,1513425,IL
wedding,1,36,1048700,IL
car,1,60,1889475,IL
credit_card,1,60,58163300,IL
debt_consolidation,1,60,121952100,IL
educational,0.0865,60,86500,IL
home_improvement,1,60,12740825,IL
house,1,60,1048425,IL
major_purchase,1,60,4088950,IL
medical,1,60,1578000,IL
moving,1,60,1120875,IL
other,1,60,9509425,IL
renewable_energy,0.0785,60,78500,IL
small_business,1,60,2383975,IL
vacation,0.871175,60,871175,IL
wedding,0.667675,60,667675,IL
car,1,36,1046375,IN
credit_card,1,36,31305600,IN
debt_consolidation,1,36,71627625,IN
home_improvement,1,36,7059800,IN
house,0.3831,36,383100,IN
major_purchase,1,36,1595025,IN
medical,1,36,1223900,IN
moving,0.451025,36,451025,IN
other,1,36,4566775,IN
renewable_energy,0.0202,36,20200,IN
small_business,0.77585,36,775850,IN
vacation,0.398975,36,398975,IN
wedding,0.0095,36,9500,IN
car,0.50755,60,507550,IN
credit_card,1,60,19853075,IN
debt_consolidation,1,60,49557300,IN
home_improvement,1,60,4922900,IN
house,0.223175,60,223175,IN
major_purchase,1,60,1619775,IN
medical,0.725425,60,725425,IN
moving,0.39765,60,397650,IN
other,1,60,3260050,IN
renewable_energy,0.035,60,35000,IN
small_business,0.3212,60,321200,IN
vacation,0.41545,60,415450,IN
wedding,0.042,60,42000,IN
car,0.74295,36,742950,KS
credit_card,1,36,18071800,KS
debt_consolidation,1,36,40543700,KS
educational,0.0296,36,29600,KS
home_improvement,1,36,3946175,KS
house,0.21565,36,215650,KS
major_purchase,0.9304,36,930400,KS
medical,0.846975,36,846975,KS
moving,0.17555,36,175550,KS
other,1,36,2909500,KS
renewable_energy,0.015,36,15000,KS
small_business,0.584675,36,584675,KS
vacation,0.294025,36,294025,KS
wedding,0.102125,36,102125,KS
car,0.30645,60,306450,KS
credit_card,1,60,12524175,KS
debt_consolidation,1,60,27045400,KS
educational,0.015,60,15000,KS
home_improvement,1,60,2830300,KS
house,0.113425,60,113425,KS
major_purchase,0.575475,60,575475,KS
medical,0.4885,60,488500,KS
moving,0.244675,60,244675,KS
other,1,60,2215825,KS
renewable_energy,0.039825,60,39825,KS
small_business,0.316925,60,316925,KS
vacation,0.159675,60,159675,KS
wedding,0.0996,60,99600,KS
car,0.849525,36,849525,KY
credit_card,1,36,18422775,KY
debt_consolidation,1,36,43506575,KY
home_improvement,1,36,4354400,KY
house,0.28545,36,285450,KY
major_purchase,1,36,1408225,KY
medical,0.690675,36,690675,KY
moving,0.266675,36,266675,KY
other,1,36,2668275,KY
renewable_energy,0.008,36,8000,KY
small_business,0.636125,36,636125,KY
vacation,0.409275,36,409275,KY
wedding,0.02405,36,24050,KY
car,0.454325,60,454325,KY
credit_card,1,60,12349700,KY
debt_consolidation,1,60,31025250,KY
educational,0.0056,60,5600,KY
home_improvement,1,60,3097475,KY
house,0.204425,60,204425,KY
major_purchase,0.8404,60,840400,KY
medical,0.406175,60,406175,KY
moving,0.148925,60,148925,KY
other,1,60,2251700,KY
renewable_energy,0.012,60,12000,KY
small_business,0.640625,60,640625,KY
vacation,0.333,60,333000,KY
wedding,0.086,60,86000,KY
car,0.76245,36,762450,LA
credit_card,1,36,18866825,LA
debt_consolidation,1,36,54567200,LA
educational,0.0821,36,82100,LA
home_improvement,1,36,6431025,LA
house,0.328025,36,328025,LA
major_purchase,1,36,2488725,LA
medical,0.902275,36,902275,LA
moving,0.553175,36,553175,LA
other,1,36,4664750,LA
renewable_energy,0.098925,36,98925,LA
small_business,0.789375,36,789375,LA
vacation,0.49015,36,490150,LA
wedding,0.2634,36,263400,LA
car,0.415825,60,415825,LA
credit_card,1,60,14570225,LA
debt_consolidation,1,60,38635825,LA
educational,0.03,60,30000,LA
home_improvement,1,60,4669700,LA
house,0.250625,60,250625,LA
major_purchase,1,60,1248975,LA
medical,0.711675,60,711675,LA
moving,0.2765,60,276500,LA
other,1,60,2810200,LA
small_business,0.76645,60,766450,LA
vacation,0.3997,60,399700,LA
wedding,0.3042,60,304200,LA
car,1,36,1485750,MA
credit_card,1,36,44897075,MA
debt_consolidation,1,36,107640975,MA
educational,0.0914,36,91400,MA
home_improvement,1,36,11250850,MA
house,0.634175,36,634175,MA
major_purchase,1,36,3604225,MA
medical,1,36,1068600,MA
moving,0.919075,36,919075,MA
other,1,36,7202650,MA
renewable_energy,0.11635,36,116350,MA
small_business,1,36,1554550,MA
vacation,0.6564,36,656400,MA
wedding,0.70595,36,705950,MA
car,1,60,1030925,MA
credit_card,1,60,29870100,MA
debt_consolidation,1,60,72083450,MA
educational,0.0685,60,68500,MA
home_improvement,1,60,6892250,MA
house,0.5205,60,520500,MA
major_purchase,1,60,2233775,MA
medical,0.62365,60,623650,MA
moving,0.665175,60,665175,MA
other,1,60,4964050,MA
renewable_energy,0.112325,60,112325,MA
small_business,1,60,1389150,MA
vacation,0.367275,60,367275,MA
wedding,0.343,60,343000,MA
car,1,36,1743600,MD
credit_card,1,36,38132425,MD
debt_consolidation,1,36,111122125,MD
educational,0.08425,36,84250,MD
home_improvement,1,36,10932650,MD
house,0.6425,36,642500,MD
major_purchase,1,36,4186175,MD
medical,1,36,1279075,MD
moving,1,36,1197225,MD
other,1,36,10003175,MD
renewable_energy,0.0898,36,89800,MD
small_business,1,36,2212050,MD
vacation,1,36,1072050,MD
wedding,0.529525,36,529525,MD
car,1,60,1252650,MD
credit_card,1,60,27057900,MD
debt_consolidation,1,60,75983900,MD
educational,0.03025,60,30250,MD
home_improvement,1,60,8547725,MD
house,0.60235,60,602350,MD
major_purchase,1,60,2752300,MD
medical,0.988425,60,988425,MD
moving,0.78435,60,784350,MD
other,1,60,7666825,MD
renewable_energy,0.120975,60,120975,MD
small_business,1,60,1288550,MD
vacation,1,60,1026150,MD
wedding,0.505925,60,505925,MD
car,0.011,36,11000,ME
credit_card,1,36,1336525,ME
debt_consolidation,1,36,2363000,ME
home_improvement,0.0428,36,42800,ME
house,0.012,36,12000,ME
major_purchase,0.0535,36,53500,ME
medical,0.004,36,4000,ME
moving,0.0414,36,41400,ME
other,0.0992,36,99200,ME
small_business,0.03,36,30000,ME
vacation,0.0042,36,4200,ME
car,0.0156,60,15600,ME
credit_card,1,60,1163550,ME
debt_consolidation,1,60,1970975,ME
home_improvement,0.10625,60,106250,ME
major_purchase,0.032975,60,32975,ME
medical,0.025,60,25000,ME
moving,0.028,60,28000,ME
other,0.2324,60,232400,ME
car,1,36,1661300,MI
credit_card,1,36,48009025,MI
debt_consolidation,1,36,118778650,MI
educational,0.129675,36,129675,MI
home_improvement,1,36,13182325,MI
house,1,36,1242225,MI
major_purchase,1,36,4259500,MI
medical,1,36,1497450,MI
moving,0.731475,36,731475,MI
other,1,36,8912800,MI
renewable_energy,0.1345,36,134500,MI
small_business,1,36,2234950,MI
vacation,0.557825,36,557825,MI
wedding,0.463925,36,463925,MI
car,1,60,1340075,MI
credit_card,1,60,33241950,MI
debt_consolidation,1,60,79085575,MI
educational,0.0503,60,50300,MI
home_improvement,1,60,9650550,MI
house,0.864925,60,864925,MI
major_purchase,1,60,2515925,MI
medical,1,60,1000300,MI
moving,0.627425,60,627425,MI
other,1,60,6073250,MI
renewable_energy,0.08045,60,80450,MI
small_business,1,60,1542225,MI
vacation,0.627075,60,627075,MI
wedding,0.137475,60,137475,MI
car,1,36,1113500,MN
credit_card,1,36,36431975,MN
debt_consolidation,1,36,81312425,MN
educational,0.090075,36,90075,MN
home_improvement,1,36,7554025,MN
house,0.5377,36,537700,MN
major_purchase,1,36,2345150,MN
medical,1,36,1221900,MN
moving,0.62365,36,623650,MN
other,1,36,5598900,MN
renewable_energy,0.08435,36,84350,MN
small_business,1,36,1443925,MN
vacation,0.7684,36,768400,MN
wedding,0.15635,36,156350,MN
car,0.877,60,877000,MN
credit_card,1,60,26428850,MN
debt_consolidation,1,60,55550325,MN
home_improvement,1,60,4985000,MN
house,0.287375,60,287375,MN
major_purchase,1,60,1481575,MN
medical,1,60,1282775,MN
moving,0.325175,60,325175,MN
other,1,60,4060750,MN
renewable_energy,0.045,60,45000,MN
small_business,0.804725,60,804725,MN
vacation,0.384425,60,384425,MN
wedding,0.138325,60,138325,MN
car,1,36,1464600,MO
credit_card,1,36,30031550,MO
debt_consolidation,1,36,73219575,MO
educational,0.038,36,38000,MO
home_improvement,1,36,6464925,MO
house,0.5094,36,509400,MO
major_purchase,1,36,2066325,MO
medical,1,36,1122500,MO
moving,0.488825,36,488825,MO
other,1,36,5236475,MO
renewable_energy,0.04755,36,47550,MO
small_business,1,36,1424075,MO
vacation,0.42385,36,423850,MO
wedding,0.2415,36,241500,MO
car,0.966325,60,966325,MO
credit_card,1,60,22585600,MO
debt_consolidation,1,60,51423875,MO
educational,0.0492,60,49200,MO
home_improvement,1,60,4732300,MO
house,0.24795,60,247950,MO
major_purchase,1,60,1696525,MO
medical,0.783425,60,783425,MO
moving,0.374625,60,374625,MO
other,1,60,3205925,MO
renewable_energy,0.066775,60,66775,MO
small_business,0.986725,60,986725,MO
vacation,0.276425,60,276425,MO
wedding,0.094,60,94000,MO
car,0.19215,36,192150,MS
credit_card,1,36,7045700,MS
debt_consolidation,1,36,21355750,MS
home_improvement,1,36,2237950,MS
house,0.13115,36,131150,MS
major_purchase,0.6223,36,622300,MS
medical,0.303825,36,303825,MS
moving,0.151275,36,151275,MS
other,1,36,1104825,MS
renewable_energy,0.0242,36,24200,MS
small_business,0.17435,36,174350,MS
vacation,0.07735,36,77350,MS
wedding,0.0138,36,13800,MS
car,0.24225,60,242250,MS
credit_card,1,60,4705150,MS
debt_consolidation,1,60,14120275,MS
educational,0.0795,60,79500,MS
home_improvement,1,60,1109575,MS
house,0.0824,60,82400,MS
major_purchase,0.42575,60,425750,MS
medical,0.1528,60,152800,MS
moving,0.051,60,51000,MS
other,0.8377,60,837700,MS
renewable_energy,0.021,60,21000,MS
small_business,0.1414,60,141400,MS
vacation,0.1112,60,111200,MS
car,0.2384,36,238400,MT
credit_card,1,36,5765525,MT
debt_consolidation,1,36,13253325,MT
educational,0.035,36,35000,MT
home_improvement,1,36,1194375,MT
house,0.0664,36,66400,MT
major_purchase,0.540325,36,540325,MT
medical,0.296775,36,296775,MT
moving,0.110525,36,110525,MT
other,0.88525,36,885250,MT
